num;repet;Climat;Rotation;Date_semis;Densite_semis;cov.nb;niv_RQ;pertes_rdt_3seeds
1;1;1;20;0;55;2;1.85;9.040341075
2;1;1;20;0;25;2;1.85;9.059257464
3;1;1;20;1;55;2;1.85;8.312325311
4;1;1;20;1;25;2;1.85;8.402201323
5;1;1;20;0;55;1.5;1.85;9.417125748
6;1;1;20;0;25;1.5;1.85;9.45870393
7;1;1;20;1;55;1.5;1.85;8.620715928
8;1;1;20;1;25;1.5;1.85;8.695055076
9;1;1;20;0;55;2.5;1.85;8.619180456
10;1;1;20;0;25;2.5;1.85;8.595401947
11;1;1;20;1;55;2.5;1.85;8.017594365
12;1;1;20;1;25;2.5;1.85;8.076744954
13;1;1;20;0;55;2;1;18.78790146
14;1;1;20;0;25;2;1;18.85637341
15;1;1;20;1;55;2;1;16.89298049
16;1;1;20;1;25;2;1;17.11859775
17;1;1;20;0;55;1.5;1;19.46637395
18;1;1;20;0;25;1.5;1;19.56525973
19;1;1;20;1;55;1.5;1;17.52271953
20;1;1;20;1;25;1.5;1;17.70742849
21;1;1;20;0;55;2.5;1;17.81006351
22;1;1;20;0;25;2.5;1;17.86471817
23;1;1;20;1;55;2.5;1;16.19393715
24;1;1;20;1;25;2.5;1;16.37888757
25;1;1;20;0;55;2;1.4;14.17258517
26;1;1;20;0;25;2;1.4;14.23788408
27;1;1;20;1;55;2;1.4;12.89696339
28;1;1;20;1;25;2;1.4;13.07793041
29;1;1;20;0;55;1.5;1.4;14.86156819
30;1;1;20;0;25;1.5;1.4;14.95149397
31;1;1;20;1;55;1.5;1.4;13.40249828
32;1;1;20;1;25;1.5;1.4;13.56775001
33;1;1;20;0;55;2.5;1.4;13.44534621
34;1;1;20;0;25;2.5;1.4;13.48686458
35;1;1;20;1;55;2.5;1.4;12.33853926
36;1;1;20;1;25;2.5;1.4;12.50533776
37;1;1;20;0;55;2;1.6;11.71808377
38;1;1;20;0;25;2;1.6;11.75888694
39;1;1;20;1;55;2;1.6;10.87829266
40;1;1;20;1;25;2;1.6;11.05946406
